Training/Test/Evaluation Split,Model,Emotion,Precision,Recall,F1-Score,Support,Accuracy
train_50_test_25_eval_25,NaiveBayes,sadness,0.972,0.78,0.865,676,0.8536
,,joy,0.948,0.75,0.837,611,
,,love,0.814,0.981,0.89,1701,
,,anger,0.994,0.457,0.626,394,
,,fear,0.82,0.976,0.891,1450,
,,surprise,1,0.124,0.221,169,
,SVM,sadness,0.992,0.975,0.984,676,0.987
,,joy,0.992,0.985,0.989,611,
,,love,0.981,0.996,0.989,1701,
,,anger,0.995,0.959,0.977,394,
,,fear,0.99,0.994,0.992,1450,
,,surprise,0.988,0.976,0.982,169,
,,,,,,,
train_50_test_20_eval_30,NaiveBayes,sadness,0.976,0.768,0.86,807,0.855
,,joy,0.932,0.742,0.826,699,
,,love,0.824,0.964,0.889,2034,
,,anger,0.984,0.577,0.727,529,
,,fear,0.812,0.976,0.886,1731,
,,surprise,1,0.189,0.318,201,
,SVM,sadness,0.993,0.986,0.989,807,0.988
,,joy,0.996,0.989,0.992,699,
,,love,0.983,0.992,0.988,2034,
,,anger,0.988,0.962,0.975,529,
,,fear,0.991,0.994,0.993,1731,
,,surprise,0.98,0.99,0.985,201,
,,,,,,,
train_60_test_20_eval_20,NaiveBayes,sadness,0.992,0.748,0.853,527,0.858
,,joy,0.964,0.776,0.86,523,
,,love,0.794,0.983,0.879,1373,
,,anger,0.989,0.528,0.688,341,
,,fear,0.845,0.971,0.904,1111,
,,surprise,1,0.19,0.32,126,
,SVM,sadness,1,0.987,0.993,527,0.993
,,joy,0.99,0.994,0.992,523,
,,love,0.988,0.997,0.992,1373,
,,anger,0.988,0.985,0.987,341,
,,fear,0.999,0.995,0.997,1111,
,,surprise,1,0.984,0.992,126,
,,,,,,,
train_60_test_30_eval_10,NaiveBayes,sadness,0.986,0.786,0.875,276,0.86
,,joy,0.989,0.777,0.87,242,
,,love,0.825,0.976,0.894,674,
,,anger,0.989,0.554,0.71,166,
,,fear,0.817,0.982,0.892,568,
,,surprise,1,0.227,0.37,75,
,SVM,sadness,0.993,0.986,0.989,276,0.99
,,joy,1,0.992,0.996,242,
,,love,0.993,0.996,0.994,674,
,,anger,1,0.994,0.997,166,
,,fear,0.99,0.996,0.993,568,
,,surprise,1,0.987,0.993,75,
,,,,,,,
train_70_test_15_eval_15,NaiveBayes,sadness,0.9795,0.8131,0.8886,412,0.869
,,joy,0.966,0.7533,0.8465,377,
,,love,0.8176,0.9834,0.8929,962,
,,anger,0.9868,0.556,0.7112,268,
,,fear,0.8417,0.9909,0.9102,875,
,,surprise,1,0.2523,0.403,107,
,SVM,sadness,0.9976,0.9903,0.9939,412,0.989
,,joy,0.992,0.992,0.992,377,
,,love,0.9866,0.9948,0.9907,962,
,,anger,0.9885,0.9664,0.9774,268,
,,fear,0.9886,0.9954,0.992,875,
,,surprise,0.9902,0.9439,0.9665,107,
,,,,,,,
train_80_test_10_eval_10,NaiveBayes,sadness,0.9896,0.7432,0.8489,257,0.852
,,joy,0.9745,0.6681,0.7927,229,
,,love,0.8141,0.9739,0.8869,652,
,,anger,0.9891,0.526,0.6868,173,
,,fear,0.8111,0.9903,0.8918,620,
,,surprise,1,0.3143,0.4783,70,
,SVM,sadness,0.9922,0.9922,0.9922,257,0.994
,,joy,0.987,0.9913,0.9891,229,
,,love,0.9939,0.9923,0.9931,652,
,,anger,1,0.9942,0.9971,173,
,,fear,0.9952,0.9968,0.996,620,
,,surprise,1,1,1,70,
,,,,,,,
train_80_test_20_eval_10,NaiveBayes,sadness,0.984,0.718,0.83,259,0.884
,,joy,0.943,0.676,0.787,219,
,,love,0.806,0.976,0.883,675,
,,anger,1,0.428,0.599,159,
,,fear,0.811,0.99,0.892,612,
,,surprise,1,0.286,0.444,77,
,SVM,sadness,0.988,0.981,0.984,259,0.992
,,joy,0.995,0.991,0.993,219,
,,love,0.988,1,0.994,675,
,,anger,0.994,0.975,0.984,159,
,,fear,0.995,0.992,0.993,612,
,,surprise,1,1,1,77,
,,,,,,,
train_90_test_5_eval_5,NaiveBayes,sadness,1,0.795,0.885,146,0.89
,,joy,0.972,0.819,0.889,127,
,,love,0.821,0.997,0.9,322,
,,anger,1,0.753,0.859,89,
,,fear,0.901,0.969,0.934,291,
,,surprise,0.99,0.269,0.424,26,
,SVM,sadness,1,0.986,0.993,146,0.996
,,joy,1,1,1,127,
,,love,0.991,1,0.995,322,
,,anger,1,0.97,1,89,
,,fear,0.996,0.997,0.995,291,
,,surprise,1,0.961,0.98,26,
